ConsentId,ImpressionId,ConsentTimestamp,TDID,Country,TCFVersion,CMPId,CMPVersion,ConsentScreen,ConsentLanguage,VendorListVersion,HasConsent,PurposesConsented,LegitimateInterests,VendorConsents,PublisherRestrictions,ConsentString
4eb855a4-9191-4004-a423-95b98247b97d,6186272b-dd85-4131-a5a5-d4a9a4672d49,2024-12-13T02:04:23,TDID_98E6433DFAA1492C,DE,2.2,235,1,2,de,111,True,"[1, 2, 3, 4, 7, 9, 10]","[2, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]...",[],CPN2dnrhLS4MSLyrjUq7Jxj6avctQjZtaWBTcui1hhXCNHsg2RtI6YVqfnf07d2QUqpLuy2LWw7SNS92Y3
de4b2dd5-736d-4313-a913-f617a597365a,c5cd9b2f-eb19-4df4-8d4d-e635c92664b9,2024-12-06T13:18:10,TDID_2D6F421844884EA1,UK,2.2,380,7,2,en,106,True,"[1, 2, 3, 4, 7, 9, 10]","[2, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]...",[],CPANVUWyxkjSL5vQDtwJiunmZeAI1nOzq230bMjM8ahJBY8XqR07RJDAWlaaeLOnwShlYrFtQOYf8xTCMS
cce6fced-5e21-4bb9-af28-1ab0bfb172f6,bf7a49ee-3b51-4740-b4de-a6aace75fcec,2024-12-07T21:36:01,TDID_0FE61C6E973E4860,UK,2.2,13,1,3,en,133,True,"[1, 2, 3, 4, 7, 9, 10]","[2, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]...",[],CPhrW6NkNT8NsAERKaz8gMQd6yjTCWpV4mWTt1lav0eGacDB2A9mqZljd9Xqfv6ULb1iXATC1whXeLzTEO
01286024-8c37-406c-9fb2-ac03a1c29acb,d9b4e8ea-556d-4029-8356-d23fef210fa1,2024-12-10T02:07:04,TDID_5E9AA39E73E041F6,DE,2.2,242,1,3,de,123,False,[],[],[],[],CPZVM3P8XwLZuJ9eUbpbneKYez1ZtKe5gM5wrlfIlvKTWApte5USbjYKYJpZUzHQh8cm5itqxd7GwJM0m3
cb23771f-1a52-4ed8-a591-8218001329ee,e3f59c58-4c65-4738-8b54-17b1bb06faa2,2024-11-18T01:20:48,TDID_1C237AAC0A87472F,UK,2.2,229,3,2,en,101,False,"[9, 10]",[],[],[],CP95iuDdW1VgbjyC3uUjzb5ObfilJqNr2cl3qYXXZGpI0kfZdOHIE3uiKjO2LbQSgNKqEkFdx6svT655yI
c97cca6a-df44-40e4-a40d-b0f89d8cb854,e1d7fda1-bcc1-4872-8e60-c0bc1d8de850,2024-11-23T10:46:01,TDID_73D11F529C744C35,DE,2.2,250,6,2,de,147,True,"[1, 2, 3, 4, 7, 9, 10]","[2, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]...",[],CPdG8BoYLgKioWiSC86NZ9SYbnbQ8GYqP0mpbhTfPEhZi6w0PmR82LhciKhFyptVzupMc5y24StWwZGQfw
ef4aa52b-4e41-4046-9fbc-3a93376546ef,57698a97-c302-4f6b-879a-0bb3b8aee7b3,2024-11-19T14:24:28,TDID_0C52FEF2460D4742,DE,2.2,417,6,2,de,120,True,"[1, 2, 3, 4, 7, 9, 10]","[2, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]...",[],CP15ro6IzpvSeHm8nO5VSNQFb2q393Ab0R7oj8C7iKNMSaquTiO929ScXqqws4lwV8GIGtDxXpZ4cdYFzG
b7ac8e89-1d00-449a-877c-62fe9c278dc2,30f28412-2a13-4bc3-a0af-6880d14ec76a,2024-12-11T04:33:31,TDID_0769DD4DA888475E,UK,2.2,34,5,2,en,139,True,"[1, 2, 3, 4, 7, 9, 10]","[2, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]...",[],CPLgea5MaslqvrURxA2LBgDytfI5jBZYwYMghxhiG1fOP3VEo7qCYeicAeV7ObJF0QdbMbUOCsjmFSmBAE
8dbcd387-9e75-42c7-ba77-844e9519fe9a,4b4960a9-b4a7-49ce-b961-73fbbcfaaedf,2024-12-01T12:01:46,TDID_7ED81564435344B7,UK,2.2,182,6,1,en,142,False,"[2, 9, 4]",[],[],[],CP9leSEUxU96hSXL8jZSoFoD4E3fRDp8IcrLwA2tzm7rJE5kZTuGHCHr7HPMQ9tTweUVhVVlUUWCZJOWAr
8eeca8c6-ebcb-4a59-abce-72036a538e4e,4236223e-41a1-4145-9634-d0b3718fafb0,2024-12-01T21:29:23,TDID_073DEE44B2FD4535,FR,2.2,231,1,2,fr,129,True,"[1, 2, 3, 4, 7, 9, 10]","[2, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]...",[],CPW4IHDX4I3dsihdKEnv8j6yIxMewJ1Fi0kiDI2Cra9RyYXMv8UmqCCwz88HPPvDC1Cxpoey5M8VX8c5Ri
