ViewabilityId,ImpressionId,MeasurementTimestamp,ViewabilityVendor,TDID,PartnerId,AdvertiserId,CampaignId,AdGroupId,CreativeId,InView,ViewableTime,ViewablePercent,MeasurementType,ViewabilityStandard,PlayerSize,InViewAtStart,InViewAtComplete,AudibleAtStart,AudibleAtComplete,BotTraffic,GIVT,SIVT
fdf6a1a6-fd06-4e7f-b1f2-392832d353ef,d701a433-615c-45d5-b179-00a6ea04a623,2024-11-23T23:11:08,IAS,TDID_C2C292DB9F71498A,partner_5019,adv_auto_brand_003,cmp_electra_test_drive,ag_electra_test_performance_video,cr_ag_electra_test_performance_video_3,True,13,89,Video,MRC,1280x720,True,True,False,True,False,False,False
149a9996-3ea5-4728-8662-7edacde04b85,2f6a4c8f-fd5f-4142-8d87-2bdfc02fcfa4,2024-12-12T00:32:03,ComScore,TDID_17838E06D4E14306,partner_4284,adv_finance_brand_003,cmp_credit_rewards,ag_credit_rewar_awareness_video,cr_ag_credit_rewar_awareness_video_2,False,0,12,Video,MRC,640x360,False,False,True,True,False,False,False
c6a979cc-12b3-440a-b82d-b3ff428f5a43,337be8ce-5109-4047-94b6-a10b5079ebc1,2024-12-03T14:31:20,DoubleVerify,TDID_4A9B08D422954DEC,partner_3636,adv_ent_brand_002,cmp_game_launch,ag_game_launch_performance_display,cr_ag_game_launch_performance_display_1,False,0,16,Display,MRC,970x250,False,False,False,False,False,False,False
e22956fa-0b94-4743-98db-94605c78e027,da3c8d4f-57ff-422f-aeef-278136c78b7b,2024-12-07T22:00:26,DoubleVerify,TDID_32BBFFEB427A4A94,partner_7724,adv_cpg_brand_002,cmp_clean_newyear,ag_clean_newyea_prospecting_native,cr_ag_clean_newyea_prospecting_native_3,False,0,38,Display,GroupM,1200x627,False,False,False,False,False,False,False
6666019e-9dcb-42e0-b9d2-ebaff1bd3605,830e60b5-1dd9-46fe-a186-f56ba89453c8,2024-11-23T15:42:48,Moat,TDID_38991CB110F142DC,partner_2761,adv_retail_brand_002,cmp_shopsmart_blackfriday,ag_shopsmart_bl_retargeting_native,cr_ag_shopsmart_bl_retargeting_native_1,True,23,69,Display,GroupM,1200x628,False,False,False,False,False,False,False
9a812079-7f9f-40b9-9fff-e66eb214d51a,78be8f12-d6d7-44f1-aeed-bac5c21ee1b6,2024-11-21T16:17:01,DoubleVerify,TDID_4E67B083E71B40FB,partner_7769,adv_finance_brand_001,cmp_bank_mortgage,ag_bank_mortgag_retargeting_display,cr_ag_bank_mortgag_retargeting_display_1,True,23,66,Display,GroupM,320x50,False,False,False,False,False,False,False
cd012526-0327-48b5-a3ae-4c1c4b360501,ff6f2489-4efb-44fc-92b2-021c566b4301,2024-12-04T15:23:04,DoubleVerify,TDID_30F496D100D24369,partner_9914,adv_tech_brand_003,cmp_app_install,ag_app_install_prospecting_video,cr_ag_app_install_prospecting_video_1,True,24,69,Video,GroupM,640x360,True,False,True,True,False,False,False
c2dee468-60d9-4e32-a684-4eeca310340b,22dd41b0-da0f-41cc-82ef-b1f80b2860fb,2024-12-10T06:30:33,Moat,TDID_803240E4DC764EB3,partner_5064,adv_retail_brand_002,cmp_shopsmart_loyalty,ag_shopsmart_lo_performance_display,cr_ag_shopsmart_lo_performance_display_2,True,20,72,Display,MRC,320x50,False,False,False,False,False,False,False
bffc70e3-0317-4a71-8d27-d37f703d749d,d9103666-ccdd-4f1c-abff-3539ffabd061,2024-11-27T10:41:33,ComScore,TDID_8AEAE9E5CE014DC2,partner_2589,adv_retail_brand_001,cmp_brand_awareness_q4,ag_brand_awaren_retargeting_native,cr_ag_brand_awaren_retargeting_native_3,True,28,77,Display,GroupM,1200x628,False,False,False,False,False,False,False
074a0417-f3d7-4f49-abf4-703d91518a80,d5ecfc44-d4c9-4b22-acc4-2b42ffdb3501,2024-12-02T08:21:15,IAS,TDID_1394AEDC56BE43A1,partner_7785,adv_retail_brand_002,cmp_shopsmart_loyalty,ag_shopsmart_lo_prospecting_native,cr_ag_shopsmart_lo_prospecting_native_1,True,14,54,Display,GroupM,1200x628,False,False,False,False,False,False,False
3951d4b3-fb89-4610-a8ec-9462597bb372,1e0326f2-e091-4724-b705-39f1d0a91b58,2024-11-24T23:00:49,IAS,TDID_834DE1D5B1334F94,partner_2658,adv_tech_brand_001,cmp_tech_product_launch,ag_tech_product_prospecting_display,cr_ag_tech_product_prospecting_display_2,False,0,5,Display,MRC,300x600,False,False,False,False,False,False,False
e1a0f289-fa26-4b28-9f88-cce1ec1fd48c,9ed5098b-a662-42ab-b8cc-163186f49157,2024-11-30T11:47:59,Moat,TDID_9009CB1B0E724591,partner_6824,adv_finance_brand_001,cmp_bank_mortgage,ag_bank_mortgag_prospecting_video,cr_ag_bank_mortgag_prospecting_video_1,False,0,26,Video,MRC,640x360,False,False,False,False,False,False,False
1a6dc8ee-50a7-4490-8f4e-36e251979845,81bfffef-1b6f-4fcb-96e2-a20b33b55bee,2024-11-17T14:36:00,Moat,TDID_474B7CDF1F654B11,partner_4519,adv_travel_brand_001,cmp_travel_newyear,ag_travel_newye_prospecting_display,cr_ag_travel_newye_prospecting_display_1,True,10,57,Display,GroupM,728x90,False,False,False,False,False,False,False
7aff0497-af46-484b-90fb-cbd54987061a,53440c3c-0342-4424-bee7-707e43864880,2024-12-14T09:01:16,IAS,TDID_BA386BE83DA34D43,partner_4814,adv_travel_brand_001,cmp_winter_getaway,ag_winter_getaw_retargeting_native,cr_ag_winter_getaw_retargeting_native_1,False,0,2,Display,GroupM,1200x628,False,False,False,False,False,False,False
9f8ee2ad-2bcb-4316-8a5a-344b4daa0ae3,26cc65ad-3971-40a2-a5f9-a3a87726f88d,2024-12-15T18:22:59,IAS,TDID_4179BD48CFFD4852,partner_1554,adv_finance_brand_001,cmp_bank_mortgage,ag_bank_mortgag_retargeting_display,cr_ag_bank_mortgag_retargeting_display_2,False,0,35,Display,MRC,300x600,False,False,False,False,False,True,False
0b41df1d-80bd-4dbd-89c8-72588b58c3ee,1deb397f-dc9a-4320-bffe-a345422c5cb6,2024-12-02T03:50:16,DoubleVerify,TDID_7B216D6635554F1F,partner_4680,adv_travel_brand_002,cmp_vacation_cruise,ag_vacation_cru_performance_video,cr_ag_vacation_cru_performance_video_2,True,5,67,Video,GroupM,1920x1080,False,True,True,True,False,False,False
